age,steps_per_day,active_minutes,sedentary_minutes,sleep_hours,sleep_quality,stress_level,workouts_per_week,diet_quality,hydration_liters,bmi,heart_rate_resting,heart_rate_avg,calories_burned,consistency_score,lifestyle_category,fitness_level
56,12633,122,1084,8.65,8.67,4.42,2,5.61,2.14,16.0,54.8,103.0,1500.0,3.84,Active,Moderate
46,1980,33,1122,5.97,5.37,7.91,2,8.17,0.92,37.07,75.2,126.3,1500.0,7.25,Active,Unfit
32,7139,60,1049,6.23,7.15,4.2,0,3.47,2.67,27.36,66.3,101.4,1500.0,5.77,Sedentary,Unfit
60,4814,66,1018,5.09,7.61,7.12,4,5.26,2.17,24.59,64.6,107.8,1500.0,9.11,Active,Moderate
25,8096,86,1031,5.49,5.57,3.88,3,2.6,2.91,19.07,64.0,92.8,1500.0,7.55,Active,Moderate
38,11124,109,974,7.21,7.94,2.12,2,6.53,2.12,16.78,58.0,86.0,1500.0,2.66,Active,Moderate
56,10032,129,999,7.26,6.27,6.14,5,7.6,3.26,16.0,57.9,100.0,1500.0,9.61,Athlete,Moderate
36,5617,57,969,8.11,8.11,6.37,3,5.9,3.5,24.24,70.0,110.8,1500.0,8.16,Active,Moderate
40,6700,51,1169,6.81,9.43,2.87,4,4.22,2.26,24.91,66.6,124.1,1500.0,3.75,Active,Moderate
28,5746,60,1057,6.58,5.01,6.82,5,8.43,3.61,30.15,61.6,109.5,1500.0,8.95,Athlete,Moderate
28,8604,81,1003,4.23,7.62,5.01,4,6.76,1.55,29.71,64.2,104.1,1500.0,6.37,Active,Moderate
41,9216,101,1005,8.55,8.59,2.88,3,5.42,1.99,22.4,59.8,95.6,1500.0,3.87,Active,Moderate
53,7259,75,1042,5.65,4.74,10.0,2,6.09,1.98,16.67,71.6,127.1,1500.0,3.56,Active,Unfit
57,3359,14,1055,6.77,7.16,4.09,3,5.24,1.39,29.73,68.9,108.5,1500.0,8.44,Active,Unfit
41,6985,90,972,6.71,6.09,8.71,5,2.9,2.45,26.47,65.5,107.7,1500.0,5.92,Athlete,Unfit
